Symbol,Date,Open,High,Low,Close,AvgPrice,Volume,Trades,DelivQty,DelivPct
HINDUNILVR,2010-06-10,247.0,252.5,247.0,252.0,0.0,1728521,0,0,0.0
HINDUNILVR,2010-06-11,255.0,255.0,252.1,252.75,0.0,1635866,0,0,0.0
HINDUNILVR,2010-06-14,255.0,259.4,251.6,255.45,0.0,1971808,0,0,0.0
HINDUNILVR,2010-06-15,256.4,261.3,254.45,260.15,0.0,2864416,0,0,0.0
HINDUNILVR,2010-06-16,260.0,261.0,255.3,255.9,0.0,1387595,0,0,0.0
HINDUNILVR,2010-06-17,255.0,256.7,248.55,253.0,0.0,2499448,0,0,0.0
HINDUNILVR,2010-06-18,255.0,258.65,250.3,257.75,0.0,2233551,0,0,0.0
HINDUNILVR,2010-06-21,259.85,260.0,256.1,258.75,0.0,2056026,0,0,0.0
HINDUNILVR,2010-06-22,258.15,265.45,258.15,261.75,0.0,4306917,0,0,0.0
HINDUNILVR,2010-06-23,260.0,269.2,260.0,266.2,0.0,3854534,0,0,0.0
HINDUNILVR,2010-06-24,266.6,274.35,266.1,270.9,0.0,5356066,0,0,0.0
HINDUNILVR,2010-06-25,267.2,270.55,264.25,266.25,0.0,920634,0,0,0.0
HINDUNILVR,2010-06-28,266.25,269.7,265.35,266.75,0.0,1198030,0,0,0.0
HINDUNILVR,2010-06-29,266.75,269.7,261.1,262.65,0.0,1065270,0,0,0.0
HINDUNILVR,2010-06-30,263.75,269.0,261.3,267.55,0.0,1434286,0,0,0.0
HINDUNILVR,2010-07-01,267.0,273.15,264.35,272.5,0.0,2551949,0,0,0.0
HINDUNILVR,2010-07-02,272.5,273.5,267.2,268.4,0.0,1734300,0,0,0.0
HINDUNILVR,2010-07-05,269.2,269.35,265.35,266.15,0.0,844054,0,0,0.0
HINDUNILVR,2010-07-06,267.7,268.25,265.5,267.35,0.0,1054052,0,0,0.0
HINDUNILVR,2010-07-07,268.8,268.8,264.65,267.6,0.0,1001367,0,0,0.0
HINDUNILVR,2010-07-08,266.6,268.55,264.1,266.45,0.0,1340864,0,0,0.0
HINDUNILVR,2010-07-09,267.0,267.85,261.2,262.4,0.0,1159054,0,0,0.0
HINDUNILVR,2010-07-12,264.75,265.2,261.15,262.15,0.0,1133170,0,0,0.0
HINDUNILVR,2010-07-13,262.15,262.5,258.35,259.8,0.0,1313668,0,0,0.0
HINDUNILVR,2010-07-14,260.0,261.4,255.5,257.6,0.0,1281275,0,0,0.0
HINDUNILVR,2010-07-15,258.75,264.0,257.6,263.35,0.0,1134558,0,0,0.0
HINDUNILVR,2010-07-16,263.1,266.9,261.8,266.15,0.0,2734672,0,0,0.0
HINDUNILVR,2010-07-19,265.2,269.1,263.7,264.6,0.0,1103384,0,0,0.0
HINDUNILVR,2010-07-20,264.6,265.0,261.0,262.65,0.0,731859,0,0,0.0
