Symbol,Date,Open,High,Low,Close,AvgPrice,Volume,Trades,DelivQty,DelivPct
WIPRO,2010-06-10,628.0,645.0,625.0,642.55,0.0,851283,0,0,0.0
WIPRO,2010-06-11,650.0,653.95,645.1,647.4,0.0,871447,0,0,0.0
WIPRO,2010-06-14,650.05,675.9,647.4,674.2,0.0,1379247,0,0,0.0
WIPRO,2010-06-15,422.4,422.4,404.1,408.2,0.0,1376335,0,0,0.0
WIPRO,2010-06-16,410.55,414.75,405.1,408.8,0.0,781372,0,0,0.0
WIPRO,2010-06-17,409.6,415.9,403.2,413.4,0.0,950945,0,0,0.0
WIPRO,2010-06-18,415.0,422.0,407.05,409.6,0.0,1092145,0,0,0.0
WIPRO,2010-06-21,412.0,418.0,410.1,415.45,0.0,828089,0,0,0.0
WIPRO,2010-06-22,415.45,415.45,399.55,406.4,0.0,893835,0,0,0.0
WIPRO,2010-06-23,406.0,409.0,400.35,404.85,0.0,1234359,0,0,0.0
WIPRO,2010-06-24,405.35,407.45,399.0,402.25,0.0,2493045,0,0,0.0
WIPRO,2010-06-25,405.0,405.0,387.0,389.3,0.0,1760460,0,0,0.0
WIPRO,2010-06-28,390.0,397.0,390.0,394.7,0.0,915436,0,0,0.0
WIPRO,2010-06-29,395.1,397.9,386.85,389.65,0.0,1025809,0,0,0.0
WIPRO,2010-06-30,380.0,387.65,380.0,384.5,0.0,1486477,0,0,0.0
WIPRO,2010-07-01,384.0,384.0,372.1,375.15,0.0,1289953,0,0,0.0
WIPRO,2010-07-02,376.15,388.0,372.55,385.6,0.0,2051600,0,0,0.0
WIPRO,2010-07-05,386.0,391.4,383.8,390.05,0.0,747906,0,0,0.0
WIPRO,2010-07-06,390.0,398.5,384.0,397.35,0.0,1429192,0,0,0.0
WIPRO,2010-07-07,398.0,398.7,390.0,393.3,0.0,701896,0,0,0.0
WIPRO,2010-07-08,398.0,401.9,394.25,395.4,0.0,941735,0,0,0.0
WIPRO,2010-07-09,398.0,402.65,396.45,401.2,0.0,966488,0,0,0.0
WIPRO,2010-07-12,403.0,412.0,401.8,409.8,0.0,1251584,0,0,0.0
WIPRO,2010-07-13,411.0,416.65,400.05,403.95,0.0,2050071,0,0,0.0
WIPRO,2010-07-14,405.0,409.0,395.0,399.15,0.0,1011115,0,0,0.0
WIPRO,2010-07-15,398.0,403.75,397.05,402.0,0.0,811235,0,0,0.0
